,stats_players_used,stats_avg_age,stats_possession,stats_games,stats_games_starts,stats_minutes,stats_minutes_90s,stats_goals,stats_assists,stats_goals_assists,stats_goals_pens,stats_pens_made,stats_pens_att,stats_cards_yellow,stats_cards_red,stats_xg,stats_npxg,stats_xg_assist,stats_npxg_xg_assist,stats_progressive_carries,stats_progressive_passes,stats_goals_per90,stats_assists_per90,stats_goals_assists_per90,stats_goals_pens_per90,stats_goals_assists_pens_per90,stats_xg_per90,stats_xg_assist_per90,stats_xg_xg_assist_per90,stats_npxg_per90,stats_npxg_xg_assist_per90
Alavés,29,27.2,45.5,27,297,"2,430",27.0,30,15,45,24,6,7,73,4,30.7,25.2,17.7,42.9,331,828,1.11,0.56,1.67,0.89,1.44,1.14,0.66,1.79,0.93,1.59
Athletic Club,30,27.5,49.3,27,297,"2,430",27.0,45,35,80,43,2,4,48,3,41.3,38.1,28.9,67.0,518,1177,1.67,1.30,2.96,1.59,2.89,1.53,1.07,2.60,1.41,2.48
Atlético Madrid,24,29.1,51.9,27,297,"2,430",27.0,44,35,79,41,3,4,63,3,43.9,40.9,33.0,73.8,517,1093,1.63,1.30,2.93,1.52,2.81,1.62,1.22,2.85,1.51,2.73
Barcelona,27,25.2,66.9,26,286,"2,430",27.0,70,50,120,66,4,5,45,3,63.6,59.7,48.9,108.6,584,1452,2.59,1.85,4.44,2.44,4.30,2.36,1.81,4.17,2.21,4.02
Betis,35,27.9,51.8,27,297,"2,430",27.0,33,20,53,28,5,8,59,4,41.0,34.8,27.3,62.2,439,1031,1.22,0.74,1.96,1.04,1.78,1.52,1.01,2.53,1.29,2.30
Celta Vigo,30,27.6,53.5,27,297,"2,430",27.0,39,27,66,34,5,6,64,5,37.4,32.7,27.4,60.1,477,1148,1.44,1.00,2.44,1.26,2.26,1.38,1.02,2.40,1.21,2.23
Espanyol,26,26.0,38.8,26,286,"2,340",26.0,24,18,42,22,2,2,67,0,20.6,19.0,14.5,33.5,332,663,0.92,0.69,1.62,0.85,1.54,0.79,0.56,1.35,0.73,1.29
Getafe,30,28.2,42.5,27,297,"2,430",27.0,23,11,34,18,5,5,86,2,25.3,21.4,14.3,35.7,258,711,0.85,0.41,1.26,0.67,1.07,0.94,0.53,1.47,0.79,1.32
Girona,29,27.9,57.3,27,297,"2,430",27.0,34,25,59,30,4,5,61,2,31.8,28.0,22.4,50.4,536,1258,1.26,0.93,2.19,1.11,2.04,1.18,0.83,2.01,1.04,1.87
Las Palmas,30,27.8,50.0,27,297,"2,430",27.0,28,21,49,27,1,2,84,4,25.4,23.8,19.2,43.0,347,864,1.04,0.78,1.81,1.00,1.78,0.94,0.71,1.65,0.88,1.59
Leganés,25,28.6,42.4,27,297,"2,430",27.0,24,19,43,20,4,6,56,5,22.0,17.3,13.1,30.4,277,699,0.89,0.70,1.59,0.74,1.44,0.81,0.48,1.30,0.64,1.13
Mallorca,27,29.4,46.1,27,297,"2,430",27.0,25,17,42,22,3,3,59,6,30.2,27.8,21.0,48.9,357,854,0.93,0.63,1.56,0.81,1.44,1.12,0.78,1.90,1.03,1.81
Osasuna,23,28.1,46.5,26,286,"2,430",27.0,30,16,46,24,6,6,65,0,28.2,24.2,18.5,42.7,405,863,1.11,0.59,1.70,0.89,1.48,1.04,0.69,1.73,0.90,1.58
Rayo Vallecano,24,29.7,50.7,27,297,"2,430",27.0,27,21,48,27,0,0,66,3,33.8,33.8,27.5,61.3,409,954,1.00,0.78,1.78,1.00,1.78,1.25,1.02,2.27,1.25,2.27
Real Madrid,26,27.6,60.7,27,297,"2,430",27.0,57,41,98,49,8,10,43,3,52.0,44.5,37.3,81.8,681,1404,2.11,1.52,3.63,1.81,3.33,1.92,1.38,3.31,1.65,3.03
Real Sociedad,30,25.9,54.6,27,297,"2,430",27.0,22,17,39,20,2,2,64,4,29.6,28.0,23.2,51.2,481,983,0.81,0.63,1.44,0.74,1.37,1.09,0.86,1.95,1.04,1.90
Sevilla,34,26.8,51.6,27,297,"2,430",27.0,29,25,54,28,1,2,71,5,28.8,27.3,20.3,47.5,435,821,1.07,0.93,2.00,1.04,1.96,1.07,0.75,1.82,1.01,1.76
Valencia,32,25.2,47.6,27,297,"2,430",27.0,30,19,49,27,3,3,58,1,30.5,28.1,22.1,50.2,413,951,1.11,0.70,1.81,1.00,1.70,1.13,0.82,1.95,1.04,1.86
Valladolid,32,26.2,43.1,27,297,"2,430",27.0,18,11,29,15,3,3,76,4,23.2,20.9,17.1,38.0,342,712,0.67,0.41,1.07,0.56,0.96,0.86,0.63,1.49,0.77,1.41
Villarreal,28,27.6,49.2,26,286,"2,340",26.0,46,30,76,41,5,7,69,2,46.2,40.5,34.0,74.5,473,1094,1.77,1.15,2.92,1.58,2.73,1.78,1.31,3.08,1.56,2.87
