,stats_players_used,stats_avg_age,stats_possession,stats_games,stats_games_starts,stats_minutes,stats_minutes_90s,stats_goals,stats_assists,stats_goals_assists,stats_goals_pens,stats_pens_made,stats_pens_att,stats_cards_yellow,stats_cards_red,stats_xg,stats_npxg,stats_xg_assist,stats_npxg_xg_assist,stats_progressive_carries,stats_progressive_passes,stats_goals_per90,stats_assists_per90,stats_goals_assists_per90,stats_goals_pens_per90,stats_goals_assists_pens_per90,stats_xg_per90,stats_xg_assist_per90,stats_xg_xg_assist_per90,stats_npxg_per90,stats_npxg_xg_assist_per90
Angers,25,28.3,42.4,25,275,"2,250",25.0,25,14,39,20,5,6,34,2,29.6,24.8,19.7,44.6,369,718,1.00,0.56,1.56,0.80,1.36,1.18,0.79,1.97,0.99,1.78
Auxerre,28,26.6,41.8,25,275,"2,250",25.0,36,25,61,32,4,5,46,4,32.4,28.8,24.0,52.8,350,819,1.44,1.00,2.44,1.28,2.28,1.30,0.96,2.26,1.15,2.11
Brest,28,28.8,47.8,25,275,"2,250",25.0,38,22,60,31,7,9,45,1,35.9,28.9,22.3,51.2,338,808,1.52,0.88,2.40,1.24,2.12,1.44,0.89,2.33,1.15,2.05
Le Havre,31,27.5,42.5,25,275,"2,250",25.0,22,14,36,18,4,5,45,4,27.8,23.7,17.0,40.7,386,781,0.88,0.56,1.44,0.72,1.28,1.11,0.68,1.79,0.95,1.63
Lens,32,27.8,53.9,25,275,"2,250",25.0,28,16,44,24,4,4,65,7,38.7,35.7,26.2,62.0,408,1089,1.12,0.64,1.76,0.96,1.60,1.55,1.05,2.60,1.43,2.48
Lille,27,26.5,57.8,25,275,"2,250",25.0,40,22,62,34,6,9,60,1,42.1,35.7,26.8,62.5,503,1210,1.60,0.88,2.48,1.36,2.24,1.68,1.07,2.76,1.43,2.50
Lyon,27,28.2,55.5,25,275,"2,250",25.0,43,34,77,40,3,5,41,0,41.9,37.9,31.1,69.1,476,1190,1.72,1.36,3.08,1.60,2.96,1.67,1.24,2.92,1.52,2.76
Marseille,32,27.3,64.5,25,275,"2,250",25.0,51,34,85,45,6,7,51,6,47.0,41.4,33.1,74.5,498,1257,2.04,1.36,3.40,1.80,3.16,1.88,1.32,3.20,1.66,2.98
Monaco,28,24.9,56.0,25,275,"2,250",25.0,49,39,88,46,3,3,46,3,56.8,54.6,44.4,99.1,489,1240,1.96,1.56,3.52,1.84,3.40,2.27,1.78,4.05,2.19,3.96
Montpellier,35,27.2,44.8,25,275,"2,250",25.0,21,12,33,18,3,4,73,6,28.7,25.6,19.8,45.4,406,787,0.84,0.48,1.32,0.72,1.20,1.15,0.79,1.94,1.03,1.82
Nantes,29,27.3,40.2,25,275,"2,250",25.0,28,20,48,24,4,4,51,2,30.8,27.7,21.9,49.6,372,817,1.12,0.80,1.92,0.96,1.76,1.23,0.88,2.11,1.11,1.99
Nice,29,26.9,46.7,25,275,"2,250",25.0,45,30,75,40,5,5,46,3,44.2,40.3,30.2,70.5,512,908,1.80,1.20,3.00,1.60,2.80,1.77,1.21,2.98,1.61,2.82
Paris S-G,24,24.4,68.0,25,275,"2,250",25.0,68,52,120,64,4,4,29,0,66.9,63.7,53.6,117.3,696,1534,2.72,2.08,4.80,2.56,4.64,2.68,2.14,4.82,2.55,4.69
Reims,33,25.4,46.2,25,275,"2,250",25.0,25,12,37,24,1,2,53,5,27.8,26.3,18.1,44.4,457,927,1.00,0.48,1.48,0.96,1.44,1.11,0.73,1.84,1.05,1.78
Rennes,35,26.1,50.0,25,275,"2,250",25.0,35,19,54,30,5,7,54,2,34.6,29.5,20.0,49.4,489,1047,1.40,0.76,2.16,1.20,1.96,1.38,0.80,2.18,1.18,1.98
Saint-Étienne,32,26.4,46.1,25,275,"2,250",25.0,25,17,42,22,3,3,50,2,26.9,24.6,18.4,42.9,398,864,1.00,0.68,1.68,0.88,1.56,1.08,0.73,1.81,0.98,1.72
Strasbourg,28,22.1,49.9,25,275,"2,250",25.0,38,29,67,36,2,2,56,1,36.8,35.2,28.0,63.2,402,880,1.52,1.16,2.68,1.44,2.60,1.47,1.12,2.59,1.41,2.53
Toulouse,27,25.8,45.8,25,275,"2,250",25.0,30,23,53,27,3,4,39,1,36.5,33.4,26.0,59.4,405,907,1.20,0.92,2.12,1.08,2.00,1.46,1.04,2.50,1.34,2.37
