,stats_players_used,stats_avg_age,stats_possession,stats_games,stats_games_starts,stats_minutes,stats_minutes_90s,stats_goals,stats_assists,stats_goals_assists,stats_goals_pens,stats_pens_made,stats_pens_att,stats_cards_yellow,stats_cards_red,stats_xg,stats_npxg,stats_xg_assist,stats_npxg_xg_assist,stats_progressive_carries,stats_progressive_passes,stats_goals_per90,stats_assists_per90,stats_goals_assists_per90,stats_goals_pens_per90,stats_goals_assists_pens_per90,stats_xg_per90,stats_xg_assist_per90,stats_xg_xg_assist_per90,stats_npxg_per90,stats_npxg_xg_assist_per90
Atalanta,32,27.7,56.0,28,308,"2,520",28.0,61,42,103,57,4,6,50,0,49.6,44.9,34.9,79.8,656,1345,2.18,1.50,3.68,2.04,3.54,1.77,1.25,3.02,1.60,2.85
Bologna,29,26.9,58.2,28,308,"2,520",28.0,43,31,74,37,6,7,43,3,38.0,32.5,25.2,57.7,493,1113,1.54,1.11,2.64,1.32,2.43,1.36,0.90,2.26,1.16,2.06
Cagliari,26,27.3,45.6,28,308,"2,520",28.0,26,21,47,23,3,3,50,3,33.0,30.7,23.7,54.4,383,865,0.93,0.75,1.68,0.82,1.57,1.18,0.85,2.03,1.10,1.94
Como,37,27.0,53.3,28,308,"2,520",28.0,29,25,54,29,0,2,67,5,31.7,30.2,24.9,55.1,475,946,1.04,0.89,1.93,1.04,1.93,1.13,0.89,2.02,1.08,1.97
Empoli,33,26.1,40.9,28,308,"2,520",28.0,22,13,35,20,2,3,48,3,23.5,21.2,16.1,37.3,318,713,0.79,0.46,1.25,0.71,1.18,0.84,0.58,1.42,0.76,1.33
Fiorentina,34,26.7,49.9,28,308,"2,520",28.0,42,28,70,36,6,8,60,2,35.6,29.4,24.3,53.7,462,936,1.50,1.00,2.50,1.29,2.29,1.27,0.87,2.14,1.05,1.92
Genoa,34,27.1,45.4,28,308,"2,520",28.0,25,19,44,25,0,2,54,0,29.2,27.5,21.3,48.8,351,770,0.89,0.68,1.57,0.89,1.57,1.04,0.76,1.80,0.98,1.74
Hellas Verona,32,25.8,37.9,28,308,"2,520",28.0,25,17,42,23,2,2,75,8,27.3,25.7,20.2,45.9,336,739,0.89,0.61,1.50,0.82,1.43,0.97,0.72,1.70,0.92,1.64
Inter,25,30.0,59.6,28,308,"2,520",28.0,60,45,105,54,6,7,36,0,51.3,46.1,35.9,82.0,506,1320,2.14,1.61,3.75,1.93,3.54,1.83,1.28,3.11,1.65,2.93
Juventus,29,25.3,58.6,28,308,"2,520",28.0,43,29,72,38,5,5,46,1,39.6,35.7,26.9,62.6,614,1127,1.54,1.04,2.57,1.36,2.39,1.41,0.96,2.37,1.28,2.24
Lazio,25,27.8,54.6,28,308,"2,520",28.0,49,35,84,44,5,6,64,4,43.9,39.5,29.4,68.9,595,1170,1.75,1.25,3.00,1.57,2.82,1.57,1.05,2.62,1.41,2.46
Lecce,30,26.7,44.4,28,308,"2,520",28.0,20,16,36,19,1,2,45,5,25.7,24.1,18.7,42.8,385,793,0.71,0.57,1.29,0.68,1.25,0.92,0.67,1.59,0.86,1.53
Milan,34,26.3,55.4,28,308,"2,520",28.0,41,27,68,37,4,7,52,5,47.4,42.0,33.8,75.8,722,1267,1.46,0.96,2.43,1.32,2.29,1.69,1.21,2.90,1.50,2.71
Monza,35,27.4,47.6,28,308,"2,520",28.0,22,14,36,19,3,3,71,3,22.2,20.0,15.0,35.1,375,788,0.79,0.50,1.29,0.68,1.18,0.79,0.54,1.33,0.72,1.25
Napoli,26,29.2,53.4,28,308,"2,520",28.0,42,30,72,38,4,5,34,0,39.5,35.7,28.6,64.2,547,1184,1.50,1.07,2.57,1.36,2.43,1.41,1.02,2.43,1.27,2.29
Parma,32,24.5,44.7,28,308,"2,520",28.0,33,23,56,27,6,7,56,5,33.4,27.9,21.6,49.5,474,826,1.18,0.82,2.00,0.96,1.79,1.19,0.77,1.96,1.00,1.77
Roma,28,27.2,55.7,28,308,"2,520",28.0,42,26,68,35,7,7,53,1,40.5,35.0,27.0,62.0,528,1130,1.50,0.93,2.43,1.25,2.18,1.45,0.96,2.41,1.25,2.21
Torino,28,27.4,47.3,28,308,"2,520",28.0,30,20,50,29,1,2,62,2,25.0,23.5,16.4,39.9,389,828,1.07,0.71,1.79,1.04,1.75,0.89,0.59,1.48,0.84,1.42
Udinese,29,27.2,46.9,28,308,"2,520",28.0,35,24,59,33,2,4,65,4,28.8,25.6,19.7,45.3,414,849,1.25,0.86,2.11,1.18,2.04,1.03,0.70,1.73,0.91,1.62
Venezia,36,26.1,44.6,28,308,"2,520",28.0,23,12,35,19,4,5,55,1,25.5,21.7,15.2,36.9,374,784,0.82,0.43,1.25,0.68,1.11,0.91,0.54,1.46,0.78,1.32
