,full_players_used,full_gk_games,full_gk_games_starts,full_gk_minutes,full_minutes_90s,full_gk_goals_against,full_gk_goals_against_per90,full_gk_shots_on_target_against,full_gk_saves,full_gk_save_pct,full_gk_wins,full_gk_ties,full_gk_losses,full_gk_clean_sheets,full_gk_clean_sheets_pct,full_gk_pens_att,full_gk_pens_allowed,full_gk_pens_saved,full_gk_pens_missed,full_gk_pens_save_pct
Augsburg,2,26,26,"2,340",26.0,35,1.35,109,75,70.6,10,8,8,10,38.5,3,3,0,0,0.0
Bayern Munich,4,26,26,"2,340",26.0,24,0.92,52,28,55.8,19,5,2,12,46.2,2,1,0,1,0.0
Bochum,2,26,26,"2,340",26.0,53,2.04,121,66,58.7,4,6,16,3,11.5,6,3,2,1,40.0
Dortmund,2,26,26,"2,340",26.0,41,1.58,105,64,63.8,10,5,11,5,19.2,3,3,0,0,0.0
Eint Frankfurt,2,26,26,"2,340",26.0,40,1.54,143,103,72.7,13,6,7,5,19.2,3,1,2,0,66.7
Freiburg,2,26,26,"2,340",26.0,38,1.46,118,78,69.5,12,6,8,10,38.5,4,2,2,0,50.0
Gladbach,4,26,26,"2,336",26.0,40,1.54,132,93,75.0,12,4,10,6,23.1,8,7,1,0,12.5
Heidenheim,1,26,26,"2,340",26.0,52,2.00,135,83,65.2,5,4,17,5,19.2,5,5,0,0,0.0
Hoffenheim,2,26,26,"2,340",26.0,48,1.85,132,84,65.9,6,8,12,3,11.5,5,3,2,0,40.0
Holstein Kiel,2,26,26,"2,340",26.0,64,2.46,149,86,59.7,4,5,17,2,7.7,5,4,1,0,20.0
Leverkusen,2,26,26,"2,340",26.0,33,1.27,105,75,71.4,16,8,2,6,23.1,3,3,0,0,0.0
Mainz 05,1,26,26,"2,340",26.0,28,1.08,111,82,77.5,13,6,7,9,34.6,4,3,1,0,25.0
RB Leipzig,2,26,26,"2,340",26.0,33,1.27,118,84,73.7,11,9,6,13,50.0,3,2,1,0,33.3
St. Pauli,1,26,26,"2,340",26.0,30,1.15,102,70,71.6,7,4,15,8,30.8,4,1,3,0,75.0
Stuttgart,1,26,26,"2,340",26.0,43,1.65,111,68,63.1,10,7,9,4,15.4,3,2,1,0,33.3
Union Berlin,2,26,26,"2,340",26.0,38,1.46,105,65,65.7,7,7,12,6,23.1,5,2,3,0,60.0
Werder Bremen,1,26,26,"2,340",26.0,53,2.04,127,77,60.6,9,6,11,5,19.2,3,3,0,0,0.0
Wolfsburg,2,26,26,"2,340",26.0,40,1.54,124,84,68.5,10,8,8,5,19.2,2,1,1,0,50.0
