,full_players_used,full_gk_games,full_gk_games_starts,full_gk_minutes,full_minutes_90s,full_gk_goals_against,full_gk_goals_against_per90,full_gk_shots_on_target_against,full_gk_saves,full_gk_save_pct,full_gk_wins,full_gk_ties,full_gk_losses,full_gk_clean_sheets,full_gk_clean_sheets_pct,full_gk_pens_att,full_gk_pens_allowed,full_gk_pens_saved,full_gk_pens_missed,full_gk_pens_save_pct
Alavés,3,28,28,"2,519",28.0,42,1.50,107,66,71.0,6,9,13,4,14.3,11,11,0,0,0.0
Athletic Club,3,28,28,"2,517",28.0,24,0.86,84,60,73.8,14,10,4,8,28.6,3,2,1,0,33.3
Atlético Madrid,2,28,28,"2,520",28.0,22,0.79,86,66,77.9,16,8,4,13,46.4,3,3,0,0,0.0
Barcelona,3,27,27,"2,430",27.0,27,1.00,81,54,70.4,19,3,5,8,29.6,3,3,0,0,0.0
Betis,3,28,28,"2,520",28.0,35,1.25,94,60,67.0,12,8,8,7,25.0,4,4,0,0,0.0
Celta Vigo,2,28,28,"2,520",28.0,41,1.46,108,68,63.0,11,6,11,6,21.4,2,1,1,0,50.0
Espanyol,1,27,27,"2,430",27.0,39,1.44,137,96,74.5,7,7,13,4,14.8,6,4,2,0,33.3
Getafe,1,28,28,"2,520",28.0,23,0.82,84,60,79.8,9,9,10,8,28.6,7,6,1,0,14.3
Girona,2,28,28,"2,520",28.0,41,1.46,107,63,63.6,9,7,12,6,21.4,5,2,3,0,60.0
Las Palmas,2,28,28,"2,520",28.0,47,1.68,136,87,68.4,6,7,15,3,10.7,9,4,4,1,50.0
Leganés,2,28,28,"2,520",28.0,43,1.54,129,88,71.3,6,9,13,8,28.6,7,6,0,1,0.0
Mallorca,2,28,28,"2,520",28.0,34,1.21,105,72,70.5,11,7,10,6,21.4,3,3,0,0,0.0
Osasuna,1,27,27,"2,430",27.0,39,1.44,128,90,71.9,7,12,8,5,18.5,3,3,0,0,0.0
Rayo Vallecano,2,28,28,"2,520",28.0,31,1.11,116,85,75.0,9,10,9,6,21.4,3,2,1,0,33.3
Real Madrid,2,28,28,"2,520",28.0,27,0.96,88,62,72.7,18,6,4,10,35.7,3,3,0,0,0.0
Real Sociedad,2,28,28,"2,520",28.0,30,1.07,100,69,75.0,10,5,13,12,42.9,6,5,1,0,16.7
Sevilla,2,28,28,"2,520",28.0,37,1.32,106,69,68.9,9,9,10,9,32.1,5,4,1,0,20.0
Valencia,2,28,28,"2,520",28.0,46,1.64,106,61,60.4,6,10,12,5,17.9,6,4,1,1,20.0
Valladolid,1,28,28,"2,520",28.0,63,2.25,148,86,59.5,4,4,20,5,17.9,3,3,0,0,0.0
Villarreal,2,27,27,"2,430",27.0,38,1.41,110,73,69.1,12,8,7,3,11.1,5,4,0,1,0.0
