,full_players_used,full_gk_games,full_gk_games_starts,full_gk_minutes,full_minutes_90s,full_gk_goals_against,full_gk_goals_against_per90,full_gk_shots_on_target_against,full_gk_saves,full_gk_save_pct,full_gk_wins,full_gk_ties,full_gk_losses,full_gk_clean_sheets,full_gk_clean_sheets_pct,full_gk_pens_att,full_gk_pens_allowed,full_gk_pens_saved,full_gk_pens_missed,full_gk_pens_save_pct
Atalanta,3,29,29,"2,610",29.0,28,0.97,106,80,74.5,17,7,5,12,41.4,1,1,0,0,0.0
Bologna,2,29,29,"2,610",29.0,34,1.17,79,46,59.5,14,11,4,9,31.0,3,2,1,0,33.3
Cagliari,3,29,29,"2,610",29.0,44,1.52,124,80,69.4,6,8,15,3,10.3,6,6,0,0,0.0
Como,3,29,29,"2,610",29.0,46,1.59,109,63,64.2,7,8,14,3,10.3,7,7,0,0,0.0
Empoli,3,29,29,"2,610",29.0,46,1.59,126,80,64.3,4,10,15,5,17.2,3,1,1,1,50.0
Fiorentina,2,29,29,"2,610",29.0,30,1.03,118,87,75.4,14,6,9,10,34.5,3,1,2,0,66.7
Genoa,2,29,29,"2,610",29.0,37,1.28,113,76,72.6,8,11,10,9,31.0,8,6,2,0,25.0
Hellas Verona,2,29,29,"2,610",29.0,58,2.00,146,89,61.0,9,2,18,6,20.7,2,1,0,1,0.0
Inter,2,29,29,"2,610",29.0,27,0.93,98,71,74.5,19,7,3,13,44.8,3,2,1,0,33.3
Juventus,2,29,29,"2,610",29.0,28,0.97,88,60,73.9,13,13,3,14,48.3,5,5,0,0,0.0
Lazio,2,29,29,"2,610",29.0,41,1.41,92,53,59.8,15,6,8,6,20.7,4,4,0,0,0.0
Lecce,1,29,29,"2,610",29.0,48,1.66,139,92,70.5,6,7,16,7,24.1,9,7,1,1,12.5
Milan,2,29,29,"2,610",29.0,33,1.14,106,74,69.8,13,8,8,10,34.5,2,1,1,0,50.0
Monza,2,29,29,"2,610",29.0,49,1.69,138,89,65.9,2,9,18,3,10.3,4,2,2,0,50.0
Napoli,2,29,29,"2,610",29.0,23,0.79,79,56,72.2,18,7,4,13,44.8,3,1,1,1,50.0
Parma,2,29,29,"2,520",29.0,49,1.75,128,81,65.6,5,10,14,3,10.3,5,5,0,0,0.0
Roma,1,29,29,"2,610",29.0,30,1.03,114,85,77.2,14,7,8,11,37.9,4,4,0,0,0.0
Torino,2,29,29,"2,610",29.0,34,1.17,139,103,76.3,9,11,9,9,31.0,5,1,4,0,80.0
Udinese,3,29,29,"2,610",29.0,39,1.34,121,87,73.6,11,7,11,8,27.6,8,7,0,1,0.0
Venezia,3,29,29,"2,610",29.0,42,1.45,152,112,77.6,3,11,15,5,17.2,9,8,1,0,11.1
