,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
Bayern Munich,25,19,4,2,74,23,+51,61,2.44,62.1,17.4,+44.7,+1.79,VNVVD,"75,000",Harry Kane-21,Manuel Neuer,
Leverkusen,25,15,8,2,55,30,+25,53,2.12,46.7,25.0,+21.7,+0.87,NNVVD,"29,934",Patrik Schick-16,Lukáš Hrádecký,
Mainz 05,25,13,5,7,42,26,+16,44,1.76,35.7,33.5,+2.2,+0.09,NVVVV,"32,176",Jonathan Burkardt-14,Robin Zentner,
Eint Frankfurt,25,12,6,7,51,39,+12,42,1.68,46.4,38.6,+7.9,+0.32,NVDDD,"57,631",Omar Marmoush-15,Kevin Trapp,
Freiburg,25,12,5,8,34,36,-2,41,1.64,30.4,31.0,-0.6,-0.02,VVVNN,"34,058","Vincenzo Grifo,Ritsu Doan-8",Noah Atubolu,
RB Leipzig,25,10,9,6,39,33,+6,39,1.56,34.4,36.9,-2.5,-0.10,VNNDN,"43,986",Benjamin Šeško-10,Péter Gulácsi,
Wolfsburg,25,10,8,7,49,39,+10,38,1.52,36.7,38.9,-2.2,-0.09,NVNVN,"25,485",Mohamed Amoura-10,Kamil Grabara,
Stuttgart,25,10,7,8,44,39,+5,37,1.48,42.4,35.6,+6.7,+0.27,VDNDN,"59,192",Ermedin Demirović-9,Alexander Nübel,
Gladbach,25,11,4,10,39,38,+1,37,1.48,38.1,45.2,-7.2,-0.29,NVDVD,"53,043",Tim Kleindienst-14,Moritz Nicolas,
Dortmund,25,10,5,10,45,39,+6,35,1.40,40.4,29.9,+10.4,+0.42,DDVVD,"81,365",Serhou Guirassy-14,Gregor Kobel,
Augsburg,25,9,8,8,28,35,-7,35,1.40,25.0,33.2,-8.2,-0.33,NNVNV,"29,829",Alexis Claude-Maurice-9,Nediljko Labrović,
Werder Bremen,25,9,6,10,38,49,-11,33,1.32,33.6,37.0,-3.4,-0.14,DDDDV,"41,287",Jens Stage-7,Michael Zetterer,
Hoffenheim,25,6,8,11,32,47,-15,26,1.04,32.2,42.7,-10.5,-0.42,DVNVN,"24,490",Andrej Kramarić-7,Oliver Baumann,
Union Berlin,25,7,5,13,22,38,-16,26,1.04,29.3,35.3,-6.0,-0.24,VDDDV,"21,929",Benedict Hollerbach-6,Frederik Rønnow,
St. Pauli,25,6,4,15,19,30,-11,22,0.88,25.5,33.0,-7.4,-0.30,DDDDN,"29,489",Morgan Guilavogui-5,Nikola Vasilj,
Bochum,25,5,5,15,26,49,-23,20,0.80,30.8,49.8,-19.0,-0.76,NVNDV,"25,428",Myron Boadu-7,Patrick Drewes,
Holstein Kiel,25,4,5,16,37,61,-24,17,0.68,28.7,44.1,-15.4,-0.62,NDDVN,"14,850","Shuto Machino,Phil Harres-7",Timon Weiner,
Heidenheim,25,4,4,17,28,51,-23,16,0.64,30.6,41.8,-11.3,-0.45,DDNDN,"15,000",Marvin Pieringer-5,Kevin Müller,
