,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
Barcelona,26,18,3,5,71,25,+46,57,2.19,63.6,28.5,+35.1,+1.35,VVVVV,"45,119",Robert Lewandowski-21,Iñaki Peña,
Real Madrid,27,17,6,4,57,26,+31,57,2.11,52.0,27.1,+24.9,+0.92,NNVDV,"69,474",Kylian Mbappé-18,Thibaut Courtois,
Atlético Madrid,27,16,8,3,44,18,+26,56,2.07,43.9,25.1,+18.8,+0.70,NNVVD,"61,568","Alexander Sørloth,Julián Álvarez-10",Jan Oblak,
Athletic Club,27,13,10,4,45,24,+21,49,1.81,41.3,25.0,+16.2,+0.60,VNVDN,"48,344",Oihan Sancet-13,Julen Agirrezabala,
Villarreal,26,12,8,6,48,36,+12,44,1.69,46.2,29.2,+17.0,+0.65,VVNVD,"18,376",Ayoze Pérez-11,Diego Conde,
Betis,27,11,8,8,35,33,+2,41,1.52,41.0,34.0,+7.0,+0.26,DVVVV,"51,110",Giovani Lo Celso-7,Rui Silva,
Mallorca,27,10,7,10,26,33,-7,37,1.37,30.2,30.6,-0.4,-0.02,NVNNN,"18,819",Vedat Muriqi-6,Dominik Greif,
Rayo Vallecano,27,9,9,9,29,29,0,36,1.33,33.8,31.9,+1.9,+0.07,VDDND,"13,131",Jorge de Frutos-4,Augusto Batalla,
Celta Vigo,27,10,6,11,40,41,-1,36,1.33,37.4,29.6,+7.8,+0.29,VNVNV,"22,082",Iago Aspas-8,Vicente Guaita,
Sevilla,27,9,9,9,32,36,-4,36,1.33,28.8,36.1,-7.2,-0.27,DVNNV,"35,672",Dodi Lukebakio-11,Ørjan Nyland,
Real Sociedad,27,10,4,13,23,28,-5,34,1.26,29.6,29.9,-0.3,-0.01,VDVDD,"30,060",Takefusa Kubo-5,Álex Remiro,
Getafe,27,8,9,10,23,22,+1,33,1.22,25.3,32.3,-7.0,-0.26,VVDDV,"11,323",Mauro Arambarri-8,David Soria,
Girona,27,9,6,12,35,40,-5,33,1.22,31.8,34.5,-2.7,-0.10,DDDNN,"12,002",Cristhian Stuani-5,Paulo Gazzaniga,
Osasuna,26,7,12,7,32,37,-5,33,1.27,28.2,36.4,-8.2,-0.32,VNNDN,"20,452",Ante Budimir-14,Sergio Herrera,
Espanyol,26,7,7,12,25,37,-12,28,1.08,20.6,40.9,-20.4,-0.78,VDNVN,"23,977",Javi Puado-8,Joan García,
Valencia,27,6,9,12,30,45,-15,27,1.00,30.5,39.4,-8.9,-0.33,VNDNV,"42,618",Hugo Duro-7,Giorgi Mamardashvili,
Leganés,27,6,9,12,24,40,-16,27,1.00,22.0,42.4,-20.4,-0.76,DNDVD,"10,908",Juan Cruz-4,Marko Dmitrović,
Alavés,27,6,8,13,30,40,-10,26,0.96,30.7,34.1,-3.4,-0.12,DNDNV,"16,862",Kiké-11,Antonio Sivera,
Las Palmas,27,6,6,15,30,45,-15,24,0.89,25.4,50.1,-24.7,-0.92,DDDND,"24,082",Sandro Ramírez-8,Jasper Cillessen,
Valladolid,27,4,4,19,18,62,-44,16,0.59,23.2,48.1,-24.9,-0.92,DDDND,"21,398","Mamadou Sylla,Selim Amallah... -3",Karl Jakob Hein,
