,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
Liverpool,29,21,7,1,69,27,+42,70,2.41,65.0,25.1,+39.8,+1.37,VNVVV,"60,300",Mohamed Salah-27,Alisson,
Arsenal,28,15,10,3,52,24,+28,55,1.96,43.8,24.4,+19.4,+0.69,VVDNN,"60,275",Kai Havertz-9,David Raya,
Nott'ham Forest,28,15,6,7,45,33,+12,51,1.82,35.0,33.6,+1.4,+0.05,VDDNV,"30,080",Chris Wood-18,Matz Sels,
Chelsea,28,14,7,7,53,36,+17,49,1.75,55.5,38.8,+16.8,+0.60,VDDVV,"39,610",Cole Palmer-14,Robert Sánchez,
Manchester City,28,14,5,9,53,38,+15,47,1.68,49.7,37.4,+12.3,+0.44,DVDVD,"52,897",Erling Haaland-20,Ederson,
Newcastle Utd,28,14,5,9,47,38,+9,47,1.68,46.3,35.4,+10.9,+0.39,DDVDV,"52,189",Alexander Isak-19,Nick Pope,
Brighton,28,12,10,6,46,40,+6,46,1.64,41.6,39.3,+2.3,+0.08,DVVVV,"32,173",João Pedro-8,Bart Verbruggen,
Aston Villa,29,12,9,8,41,45,-4,45,1.55,41.2,40.0,+1.1,+0.04,NNVDV,"41,958",Ollie Watkins-13,Emiliano Martínez,
Bournemouth,28,12,8,8,47,34,+13,44,1.57,51.3,37.9,+13.4,+0.48,DVDDN,"11,213",Justin Kluivert-12,Kepa Arrizabalaga,
Fulham,28,11,9,8,41,38,+3,42,1.50,38.8,32.1,+6.8,+0.24,VVDVD,"26,550",Raúl Jiménez-10,Bernd Leno,
Crystal Palace,28,10,9,9,36,33,+3,39,1.39,44.1,35.4,+8.8,+0.31,VDVVV,"25,108",Jean-Philippe Mateta-12,Dean Henderson,
Brentford,28,11,5,12,48,44,+4,38,1.36,43.9,43.6,+0.3,+0.01,DVVND,"19,052",Bryan Mbeumo-15,Mark Flekken,
Tottenham,28,10,4,14,55,41,+14,34,1.21,46.3,47.4,-1.1,-0.04,VVVDN,"61,294","James Maddison,Brennan Johnson-9",Guglielmo Vicario,
Manchester Utd,28,9,7,12,34,40,-6,34,1.21,38.0,43.2,-5.3,-0.19,DDNVN,"73,733",Bruno Fernandes-7,André Onana,
Everton,28,7,12,9,31,35,-4,33,1.18,30.6,34.8,-4.2,-0.15,NVNNN,"38,132","Iliman Ndiaye,Beto-6",Jordan Pickford,
West Ham,28,9,6,13,32,48,-16,33,1.18,35.8,46.2,-10.4,-0.37,DDVVD,"62,463",Jarrod Bowen-7,Alphonse Areola,
Wolves,28,6,5,17,38,57,-19,23,0.82,31.2,44.9,-13.6,-0.49,VDVDN,"30,570",Matheus Cunha-13,José Sá,
Ipswich Town,28,3,8,17,26,58,-32,17,0.61,26.7,55.9,-29.2,-1.04,DNDDD,"29,774",Liam Delap-10,Arijanet Muric,
Leicester City,28,4,5,19,25,62,-37,17,0.61,24.6,52.5,-27.9,-1.00,DDDDD,"31,551",Jamie Vardy-7,Mads Hermansen,
Southampton,28,2,3,23,20,68,-48,9,0.32,25.6,67.2,-41.6,-1.49,VDDDD,"31,098",Joe Aribo-3,Aaron Ramsdale,
