,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,last_5,attendance_per_g,top_team_scorers,top_keeper,notes
Inter,28,18,7,3,63,27,+36,61,2.18,51.3,24.8,+26.4,+0.94,VDVNV,"70,459",Marcus Thuram-13,Yann Sommer,
Napoli,28,18,6,4,45,23,+22,60,2.14,39.5,21.2,+18.3,+0.65,NNDNV,"49,809",Romelu Lukaku-10,Alex Meret,
Atalanta,28,17,7,4,63,26,+37,58,2.07,49.6,26.3,+23.4,+0.83,VNVNV,"22,742",Mateo Retegui-22,Marco Carnesecchi,
Juventus,28,13,13,2,45,25,+20,52,1.86,39.6,26.5,+13.1,+0.47,VVVVD,"40,679",Dušan Vlahović-9,Michele Di Gregorio,
Lazio,28,15,6,7,50,36,+14,51,1.82,43.9,30.2,+13.7,+0.49,VNNVN,"38,776",Valentín Castellanos-9,Ivan Provedel,
Bologna,28,13,11,4,44,34,+10,50,1.79,38.0,27.2,+10.8,+0.38,VDVVV,"26,383",Riccardo Orsolini-9,Łukasz Skorupski,
Roma,28,13,7,8,43,30,+13,46,1.64,40.5,30.7,+9.8,+0.35,VVVVV,"61,255",Artem Dovbyk-9,Mile Svilar,
Fiorentina,28,13,6,9,43,30,+13,45,1.61,35.6,30.6,+5.0,+0.18,DDDVD,"20,313",Moise Kean-15,David de Gea,
Milan,28,12,8,8,42,32,+10,44,1.57,47.4,30.6,+16.8,+0.60,VDDDV,"71,569","Christian Pulisic,Tijjani Reijnders-8",Mike Maignan,
Udinese,28,11,7,10,35,38,-3,40,1.43,28.8,37.7,-9.0,-0.32,NVVVN,"20,758",Lorenzo Lucca-10,Maduka Okoye,
Torino,28,8,11,9,33,34,-1,35,1.25,25.0,37.9,-12.9,-0.46,NDVVN,"22,843",Che Adams-8,Vanja Milinković-Savić,
Genoa,28,7,11,10,26,36,-10,32,1.14,29.2,35.0,-5.8,-0.21,NVDNN,"31,198",Andrea Pinamonti-8,Nicola Leali,
Como,28,7,8,13,34,44,-10,29,1.04,31.7,30.2,+1.5,+0.05,DVVDN,"10,435","Patrick Cutrone,Nicolás Paz-6","Pepe Reina,Jean Butez",
Cagliari,28,6,8,14,28,43,-15,26,0.93,33.0,44.1,-11.1,-0.39,VNDDN,"16,063",Roberto Piccoli-7,Simone Scuffet,
Hellas Verona,28,8,2,18,28,58,-30,26,0.93,27.3,43.8,-16.5,-0.59,DDVDD,"25,987",Casper Tengstedt-6,Lorenzo Montipò,
Lecce,28,6,7,15,20,46,-26,25,0.89,25.7,44.7,-19.0,-0.68,NNDDD,"26,052",Nikola Krstović-9,Wladimiro Falcone,
Parma,28,5,9,14,34,48,-14,24,0.86,33.4,47.4,-14.0,-0.50,DDVDN,"18,634",Ange-Yoan Bonny-5,Zion Suzuki,
Empoli,28,4,10,14,23,45,-22,22,0.79,23.5,38.7,-15.2,-0.54,DDDND,"10,336",Sebastiano Esposito-8,Devis Vásquez,
Venezia,28,3,10,15,23,42,-19,19,0.68,25.5,43.7,-18.2,-0.65,DDNNN,"10,238",Joel Pohjanpalo-6,Filip Stankovic,
Monza,28,2,8,18,23,48,-25,14,0.50,22.2,39.2,-17.1,-0.61,DNDDD,"11,884","Milan Đurić,Dany Mota-4",Stefano Turati,
