,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Augsburg,28,27.3,56.6,26,286,"2,340",26.0,34,24,58,31,3,3,43,3,33.9,31.6,25.2,56.7,464,1110,1.31,0.92,2.23,1.19,2.12,1.30,0.97,2.27,1.21,2.18
contre Bayern Munich,27,27.1,31.0,26,286,"2,340",26.0,24,17,41,23,1,2,52,1,18.0,16.5,11.8,28.3,196,484,0.92,0.65,1.58,0.88,1.54,0.69,0.45,1.15,0.64,1.09
contre Bochum,26,27.1,56.0,26,286,"2,340",26.0,53,39,92,50,3,6,37,3,52.3,47.3,39.4,86.7,461,1161,2.04,1.50,3.54,1.92,3.42,2.01,1.52,3.53,1.82,3.33
contre Dortmund,28,27.4,38.9,26,286,"2,340",26.0,40,31,71,37,3,3,55,4,31.7,29.3,22.6,51.9,333,768,1.54,1.19,2.73,1.42,2.62,1.22,0.87,2.09,1.13,2.00
contre Eint Frankfurt,26,27.5,50.4,26,286,"2,340",26.0,38,24,62,37,1,3,42,1,39.9,37.6,29.6,67.2,431,1026,1.46,0.92,2.38,1.42,2.35,1.54,1.14,2.67,1.45,2.58
contre Freiburg,26,27.3,52.1,26,286,"2,340",26.0,38,28,66,36,2,4,43,1,32.3,29.2,22.6,51.8,388,941,1.46,1.08,2.54,1.38,2.46,1.24,0.87,2.11,1.12,1.99
contre Gladbach,26,27.4,49.1,26,286,"2,340",26.0,38,19,57,31,7,8,39,1,47.7,41.4,33.4,74.8,440,1119,1.46,0.73,2.19,1.19,1.92,1.84,1.29,3.12,1.59,2.88
contre Heidenheim,26,27.3,56.8,26,286,"2,340",26.0,52,40,92,47,5,5,69,2,43.4,39.5,32.8,72.3,499,1198,2.00,1.54,3.54,1.81,3.35,1.67,1.26,2.93,1.52,2.78
contre Hoffenheim,34,27.4,50.2,26,286,"2,340",26.0,46,35,81,43,3,5,40,2,44.7,40.8,32.6,73.4,390,1032,1.77,1.35,3.12,1.65,3.00,1.72,1.25,2.97,1.57,2.82
contre Holstein Kiel,27,27.2,56.0,26,286,"2,340",26.0,62,43,105,58,4,5,61,2,45.6,41.8,33.7,75.5,430,1190,2.38,1.65,4.04,2.23,3.88,1.75,1.30,3.05,1.61,2.90
contre Leverkusen,23,26.9,41.2,26,286,"2,340",26.0,30,19,49,27,3,3,58,1,27.4,25.1,17.4,42.4,312,759,1.15,0.73,1.88,1.04,1.77,1.05,0.67,1.72,0.96,1.63
contre Mainz 05,24,27.2,51.0,26,286,"2,340",26.0,28,15,43,25,3,4,59,6,36.6,33.8,22.3,56.1,338,915,1.08,0.58,1.65,0.96,1.54,1.41,0.86,2.27,1.30,2.16
contre RB Leipzig,29,27.4,48.1,26,286,"2,340",26.0,33,23,56,31,2,3,61,0,39.9,37.5,28.8,66.3,396,988,1.27,0.88,2.15,1.19,2.08,1.53,1.11,2.64,1.44,2.55
contre St. Pauli,27,27.3,55.8,26,286,"2,340",26.0,29,20,49,28,1,4,56,1,33.1,30.0,23.9,53.9,368,1045,1.12,0.77,1.88,1.08,1.85,1.27,0.92,2.19,1.15,2.07
contre Stuttgart,27,27.4,43.8,26,286,"2,340",26.0,42,26,68,40,2,3,80,4,37.3,35.0,27.7,62.7,333,795,1.62,1.00,2.62,1.54,2.54,1.44,1.07,2.50,1.34,2.41
contre Union Berlin,27,27.2,58.6,26,286,"2,340",26.0,37,26,63,35,2,5,43,2,36.9,33.1,25.9,59.1,442,1117,1.42,1.00,2.42,1.35,2.35,1.42,1.00,2.42,1.27,2.27
contre Werder Bremen,23,27.1,50.0,26,286,"2,340",26.0,50,35,85,47,3,3,56,5,39.4,37.0,29.8,66.8,437,1025,1.92,1.35,3.27,1.81,3.15,1.51,1.14,2.66,1.42,2.57
contre Wolfsburg,25,27.5,55.0,26,286,"2,340",26.0,39,32,71,38,1,2,55,2,39.6,38.0,31.9,69.8,401,1056,1.50,1.23,2.73,1.46,2.69,1.52,1.23,2.75,1.46,2.69
