,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Alavés,29,27.7,54.8,28,308,"2,520",28.0,41,24,65,30,11,11,82,4,35.9,27.3,23.3,50.6,392,981,1.46,0.86,2.32,1.07,1.93,1.28,0.83,2.11,0.98,1.81
contre Athletic Club,30,27.4,51.1,28,308,"2,520",28.0,23,10,33,21,2,3,69,3,25.6,23.3,15.6,38.9,343,880,0.82,0.36,1.18,0.75,1.11,0.91,0.56,1.47,0.83,1.39
contre Atlético Madrid,24,27.5,48.7,28,308,"2,520",28.0,20,14,34,17,3,3,53,0,26.4,24.0,19.5,43.5,448,1219,0.71,0.50,1.21,0.61,1.11,0.94,0.69,1.64,0.86,1.55
contre Barcelona,27,27.5,33.2,27,297,"2,430",27.0,27,20,47,24,3,3,68,1,29.9,27.5,22.5,50.1,300,578,1.00,0.74,1.74,0.89,1.63,1.11,0.84,1.94,1.02,1.85
contre Betis,35,27.8,47.8,28,308,"2,520",28.0,34,21,55,30,4,4,81,7,35.3,32.2,25.9,58.1,424,1025,1.21,0.75,1.96,1.07,1.82,1.26,0.93,2.19,1.15,2.07
contre Celta Vigo,30,27.4,46.2,28,308,"2,520",28.0,39,32,71,38,1,2,67,5,30.2,28.5,23.6,52.1,423,907,1.39,1.14,2.54,1.36,2.50,1.08,0.84,1.92,1.02,1.86
contre Espanyol,26,27.7,61.3,27,297,"2,430",27.0,39,29,68,35,4,6,47,1,43.6,38.8,31.0,69.9,594,1298,1.44,1.07,2.52,1.30,2.37,1.61,1.15,2.76,1.44,2.59
contre Getafe,30,27.8,57.6,28,308,"2,520",28.0,23,12,35,17,6,7,79,4,34.1,28.9,22.5,51.4,355,940,0.82,0.43,1.25,0.61,1.04,1.22,0.80,2.02,1.03,1.84
contre Girona,29,27.5,42.7,28,308,"2,520",28.0,41,31,72,39,2,5,61,3,35.5,31.6,26.1,57.6,410,829,1.46,1.11,2.57,1.39,2.50,1.27,0.93,2.20,1.13,2.06
contre Las Palmas,30,27.4,49.6,28,308,"2,520",28.0,45,36,81,41,4,9,68,6,51.8,45.1,36.9,81.9,545,1147,1.61,1.29,2.89,1.46,2.75,1.85,1.32,3.17,1.61,2.93
contre Leganés,25,27.6,57.8,28,308,"2,520",28.0,41,25,66,35,6,7,55,1,45.1,39.6,31.0,70.6,599,1276,1.46,0.89,2.36,1.25,2.14,1.61,1.11,2.72,1.41,2.52
contre Mallorca,27,27.3,53.3,28,308,"2,520",28.0,33,22,55,30,3,3,57,2,30.8,28.5,22.8,51.2,488,1156,1.18,0.79,1.96,1.07,1.86,1.10,0.81,1.91,1.02,1.83
contre Osasuna,23,27.3,53.0,27,297,"2,430",27.0,38,31,69,35,3,3,61,5,37.0,34.6,29.6,64.2,446,1058,1.41,1.15,2.56,1.30,2.44,1.37,1.10,2.47,1.28,2.38
contre Rayo Vallecano,24,27.1,49.1,28,308,"2,520",28.0,30,24,54,28,2,3,57,3,32.5,30.1,23.0,53.1,451,1004,1.07,0.86,1.93,1.00,1.86,1.16,0.82,1.98,1.08,1.90
contre Real Madrid,26,27.6,39.6,28,308,"2,520",28.0,26,19,45,23,3,3,64,3,28.7,26.8,21.2,48.0,497,877,0.93,0.68,1.61,0.82,1.50,1.02,0.76,1.78,0.96,1.71
contre Real Sociedad,30,27.5,45.7,28,308,"2,520",28.0,30,19,49,25,5,6,64,0,30.5,25.8,18.2,44.0,392,817,1.07,0.68,1.75,0.89,1.57,1.09,0.65,1.74,0.92,1.57
contre Sevilla,34,27.6,48.0,28,308,"2,520",28.0,36,24,60,32,4,5,65,3,37.3,33.4,26.5,60.0,374,884,1.29,0.86,2.14,1.14,2.00,1.33,0.95,2.28,1.19,2.14
contre Valencia,32,27.4,52.6,28,308,"2,520",28.0,44,33,77,40,4,6,64,3,40.3,35.6,29.1,64.8,431,1043,1.57,1.18,2.75,1.43,2.61,1.44,1.04,2.48,1.27,2.31
contre Valladolid,32,27.5,57.0,28,308,"2,520",28.0,62,44,106,59,3,3,74,3,49.6,47.6,36.1,83.6,548,1301,2.21,1.57,3.79,2.11,3.68,1.77,1.29,3.06,1.70,2.99
contre Villarreal,28,27.5,51.0,27,297,"2,430",27.0,37,22,59,33,4,5,87,7,30.3,26.3,19.1,45.4,470,1033,1.37,0.81,2.19,1.22,2.04,1.12,0.71,1.83,0.98,1.68
