,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Angers,25,26.8,57.6,26,286,"2,340",26.0,42,31,73,39,3,4,66,6,44.2,41.0,30.9,71.9,564,1319,1.62,1.19,2.81,1.50,2.69,1.70,1.19,2.89,1.58,2.77
contre Auxerre,28,26.4,58.0,26,286,"2,340",26.0,37,27,64,32,5,6,40,3,45.3,40.6,33.9,74.5,489,1182,1.42,1.04,2.46,1.23,2.27,1.74,1.30,3.04,1.56,2.86
contre Brest,29,26.4,51.3,26,286,"2,340",26.0,39,25,64,34,5,7,55,2,42.8,37.3,29.1,66.4,420,1146,1.50,0.96,2.46,1.31,2.27,1.65,1.12,2.76,1.43,2.55
contre Le Havre,31,26.8,57.8,26,286,"2,340",26.0,54,38,92,49,5,6,55,4,48.1,43.8,35.1,78.9,508,1289,2.08,1.46,3.54,1.88,3.35,1.85,1.35,3.20,1.68,3.04
contre Lens,32,26.6,46.4,26,286,"2,340",26.0,29,16,45,21,8,8,50,0,34.3,28.2,22.1,50.4,421,836,1.12,0.62,1.73,0.81,1.42,1.32,0.85,2.17,1.09,1.94
contre Lille,27,26.2,41.8,26,286,"2,340",26.0,28,18,46,25,3,3,49,8,35.7,33.4,24.4,57.8,402,704,1.08,0.69,1.77,0.96,1.65,1.37,0.94,2.31,1.28,2.22
contre Lyon,27,26.6,44.0,26,286,"2,340",26.0,33,23,56,30,3,3,53,3,38.3,35.9,27.3,63.2,482,882,1.27,0.88,2.15,1.15,2.04,1.47,1.05,2.52,1.38,2.43
contre Marseille,32,26.6,36.4,26,286,"2,340",26.0,31,23,54,29,2,5,43,3,36.2,32.6,24.3,56.9,350,688,1.19,0.88,2.08,1.12,2.00,1.39,0.93,2.33,1.25,2.19
contre Monaco,28,26.5,44.0,26,286,"2,340",26.0,32,23,55,29,3,3,53,2,28.7,26.6,21.2,47.8,424,903,1.23,0.88,2.12,1.12,2.00,1.10,0.82,1.92,1.02,1.84
contre Montpellier,35,26.3,55.2,25,275,"2,295",25.5,57,45,102,52,5,6,53,1,48.8,44.0,35.1,79.0,491,1153,2.24,1.76,4.00,2.04,3.80,1.92,1.37,3.29,1.72,3.10
contre Nantes,30,26.4,60.1,26,286,"2,340",26.0,40,28,68,35,5,5,40,4,42.7,38.8,32.0,70.8,553,1330,1.54,1.08,2.62,1.35,2.42,1.64,1.23,2.87,1.49,2.72
contre Nice,29,26.7,53.2,26,286,"2,340",26.0,30,22,52,28,2,2,56,4,29.2,27.8,22.3,50.1,478,1023,1.15,0.85,2.00,1.08,1.92,1.12,0.86,1.98,1.07,1.93
contre Paris S-G,24,26.6,32.3,26,286,"2,340",26.0,25,14,39,22,3,3,49,2,26.0,23.8,18.2,42.0,364,703,0.96,0.54,1.50,0.85,1.38,1.00,0.70,1.70,0.91,1.61
contre Reims,33,26.7,54.4,26,286,"2,340",26.0,40,29,69,37,3,4,41,1,44.7,41.7,32.8,74.5,488,1197,1.54,1.12,2.65,1.42,2.54,1.72,1.26,2.98,1.60,2.87
contre Rennes,35,26.2,49.8,26,286,"2,340",26.0,35,26,61,33,2,4,54,5,35.4,32.4,25.8,58.2,428,895,1.35,1.00,2.35,1.27,2.27,1.36,0.99,2.36,1.24,2.24
contre Saint-Étienne,32,26.7,53.9,25,275,"2,295",25.5,55,24,79,43,12,14,39,1,56.8,45.6,32.9,78.5,518,1129,2.16,0.94,3.10,1.69,2.63,2.23,1.29,3.52,1.79,3.08
contre Strasbourg,30,26.7,49.8,26,286,"2,340",26.0,31,15,46,26,5,6,59,1,43.2,38.6,30.5,69.1,394,1023,1.19,0.58,1.77,1.00,1.58,1.66,1.17,2.83,1.49,2.66
contre Toulouse,27,26.4,54.3,26,286,"2,340",26.0,27,20,47,26,1,2,55,3,28.7,27.1,20.1,47.3,449,1001,1.04,0.77,1.81,1.00,1.77,1.10,0.77,1.88,1.04,1.82
