,advplayers_used,advavg_age,advpossession,advgames,advgames_starts,advminutes,advminutes_90s,advgoals,advassists,advgoals_assists,advgoals_pens,advpens_made,advpens_att,advcards_yellow,advcards_red,advxg,advnpxg,advxg_assist,advnpxg_xg_assist,advprogressive_carries,advprogressive_passes,advgoals_per90,advassists_per90,advgoals_assists_per90,advgoals_pens_per90,advgoals_assists_pens_per90,advxg_per90,advxg_assist_per90,advxg_xg_assist_per90,advnpxg_per90,advnpxg_xg_assist_per90
contre Atalanta,32,27.0,44.2,29,319,"2,610",29.0,26,20,46,25,1,1,45,2,28.5,27.7,21.4,49.1,384,741,0.90,0.69,1.59,0.86,1.55,0.98,0.74,1.72,0.96,1.69
contre Bologna,29,26.8,42.0,29,319,"2,610",29.0,32,24,56,30,2,3,67,3,27.7,25.4,19.4,44.7,359,711,1.10,0.83,1.93,1.03,1.86,0.96,0.67,1.62,0.88,1.54
contre Cagliari,26,26.9,54.6,29,319,"2,610",29.0,44,28,72,38,6,6,49,4,45.4,41.2,31.2,72.3,599,1140,1.52,0.97,2.48,1.31,2.28,1.56,1.07,2.64,1.42,2.49
contre Como,38,27.1,46.6,29,319,"2,610",29.0,46,30,76,39,7,7,72,4,31.5,26.1,20.8,46.9,427,898,1.59,1.03,2.62,1.34,2.38,1.09,0.72,1.81,0.90,1.62
contre Empoli,33,27.2,58.8,29,319,"2,610",29.0,45,37,82,44,1,3,38,1,39.4,37.0,27.8,64.8,481,1137,1.55,1.28,2.83,1.52,2.79,1.36,0.96,2.32,1.28,2.24
contre Fiorentina,34,27.2,50.5,29,319,"2,610",29.0,29,21,50,28,1,3,69,5,31.5,29.1,22.4,51.5,529,1003,1.00,0.72,1.72,0.97,1.69,1.09,0.77,1.86,1.00,1.78
contre Genoa,34,27.1,54.7,29,319,"2,610",29.0,35,20,55,29,6,8,54,1,36.2,30.1,23.8,53.9,463,1057,1.21,0.69,1.90,1.00,1.69,1.25,0.82,2.07,1.04,1.86
contre Hellas Verona,32,26.9,62.2,29,319,"2,610",29.0,57,42,99,56,1,2,43,1,44.4,42.8,32.6,75.4,552,1298,1.97,1.45,3.41,1.93,3.38,1.53,1.12,2.65,1.48,2.60
contre Inter,25,27.0,40.7,29,319,"2,610",29.0,26,17,43,24,2,3,37,3,25.5,23.0,16.9,39.9,477,785,0.90,0.59,1.48,0.83,1.41,0.88,0.58,1.46,0.79,1.37
contre Juventus,29,27.2,41.3,29,319,"2,610",29.0,28,18,46,23,5,5,54,2,26.9,23.0,17.1,40.1,421,824,0.97,0.62,1.59,0.79,1.41,0.93,0.59,1.52,0.79,1.38
contre Lazio,26,26.9,45.6,29,319,"2,610",29.0,39,29,68,35,4,4,90,9,32.5,29.4,24.2,53.7,430,854,1.34,1.00,2.34,1.21,2.21,1.12,0.84,1.96,1.02,1.85
contre Lecce,30,27.1,55.2,29,319,"2,610",29.0,46,30,76,39,7,9,62,4,45.7,39.0,30.5,69.5,510,1260,1.59,1.03,2.62,1.34,2.38,1.58,1.05,2.63,1.34,2.40
contre Milan,34,26.9,45.1,29,319,"2,610",29.0,31,27,58,30,1,2,61,3,31.6,30.0,25.3,55.4,444,901,1.07,0.93,2.00,1.03,1.97,1.09,0.87,1.96,1.04,1.91
contre Monza,35,26.9,52.4,29,319,"2,610",29.0,47,39,86,45,2,4,45,0,39.9,36.8,29.9,66.8,548,1244,1.62,1.34,2.97,1.55,2.90,1.38,1.03,2.41,1.27,2.30
contre Napoli,26,26.7,46.4,29,319,"2,610",29.0,22,15,37,21,1,3,55,1,21.9,19.4,15.5,35.0,421,886,0.76,0.52,1.28,0.72,1.24,0.76,0.54,1.29,0.67,1.21
contre Parma,32,27.0,55.0,29,319,"2,610",29.0,47,35,82,42,5,5,65,3,48.0,44.2,34.7,78.9,651,1323,1.62,1.21,2.83,1.45,2.66,1.66,1.20,2.85,1.52,2.72
contre Roma,28,26.9,44.1,29,319,"2,610",29.0,29,18,47,25,4,4,72,4,31.4,28.3,20.8,49.1,477,869,1.00,0.62,1.62,0.86,1.48,1.08,0.72,1.80,0.98,1.69
contre Torino,28,26.8,52.6,29,319,"2,610",29.0,32,22,54,31,1,5,51,1,38.9,35.0,26.3,61.3,549,1053,1.10,0.76,1.86,1.07,1.83,1.34,0.91,2.25,1.21,2.11
contre Udinese,29,27.1,52.6,29,319,"2,610",29.0,34,18,52,27,7,8,46,5,38.1,31.9,24.4,56.4,447,1024,1.17,0.62,1.79,0.93,1.55,1.31,0.84,2.16,1.10,1.94
contre Venezia,36,27.2,55.4,29,319,"2,610",29.0,39,23,62,31,8,9,54,2,45.4,38.3,29.8,68.1,542,1117,1.34,0.79,2.14,1.07,1.86,1.56,1.03,2.59,1.32,2.35
